round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,early_stopping,early_stopping_config__monitor,early_stopping_config__min_delta,early_stopping_config__patience,early_stopping_config__mode,batch_size,model_type
7,0.8128131008148194,0.6984812932014466,0.74375,1.344380035672869,0.42239670504842486,0.5224642857142857,False,64,tanh,0.6,2,funnel,7,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
7,0.5397487607002258,0.8325827260017395,0.82975,0.3784386693068913,0.8780119012423924,0.8931428571428571,False,64,tanh,0.6,0,funnel,7,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
7,0.55862291431427,0.8287731409072876,0.8235,0.32432102477550506,0.8975006285394941,0.9051428571428571,False,64,tanh,0.6,0,funnel,7,True,val_f1,0,3,max,32,keras_sdr_tf_idf_model
5,0.747449815750122,0.7007610650062561,0.77675,1.2218176163264682,0.4784446908405849,0.5622142857142857,False,64,relu,0.6,1,funnel,5,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
7,0.6762970490455628,0.8180690245628357,0.81175,0.4993351570197514,0.8282110563686916,0.8345357142857143,False,64,relu,0.2,2,funnel,7,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
4,0.5416436910629272,0.827158118724823,0.8285,0.4150021765913282,0.8651490229197911,0.8814642857142857,False,128,tanh,0.6,0,funnel,4,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
7,0.6632745320796967,0.8185900931358338,0.81125,0.2696415193208626,0.9104202993256705,0.9126785714285715,False,64,relu,0.2,1,funnel,7,True,val_f1,0,3,max,32,keras_sdr_tf_idf_model
4,0.524185026884079,0.8351940522193909,0.8355,0.43293305362973894,0.8592413285800389,0.8708214285714285,False,128,relu,0.6,0,funnel,4,True,val_f1,0,3,max,32,keras_sdr_tf_idf_model
5,0.5955075143575669,0.8201188220977783,0.81475,0.7651208978039877,0.7327137464114598,0.7484642857142857,False,64,tanh,0.6,1,funnel,5,True,val_f1,0,3,max,32,keras_sdr_tf_idf_model
6,0.7128694171309471,0.8114860391616822,0.80375,0.2391321440764836,0.9238938794817243,0.9249642857142857,False,64,tanh,0.2,1,funnel,7,True,val_f1,0,3,max,32,keras_sdr_tf_idf_model
4,0.5857656693458557,0.8114236583709716,0.83175,0.7068123678479876,0.7613309178352355,0.8018214285714286,False,64,relu,0.6,0,funnel,4,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
4,0.6446617951393128,0.8090530223846436,0.80175,0.4830457461220877,0.8487447197096688,0.8561428571428571,False,64,tanh,0.2,2,funnel,4,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
5,1.3060274305343629,0.4156529378890991,0.61125,1.8267588866097586,0.20020044483031546,0.36289285714285713,False,64,relu,0.6,2,funnel,5,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
5,0.6388749461174011,0.8086765880584716,0.80575,0.9370126206534249,0.6645309527260916,0.6928928571428571,False,128,tanh,0.6,2,funnel,5,True,val_f1,0,3,max,64,keras_sdr_tf_idf_model
